Word,Article,Count
adrian,2,2
adriano,4,4
adriatic,1,1
adsum,1,1
aduck,1,2
adul,1,1
adulter,6,6
adulteress,3,4
adulteri,5,6
adulteriesr,1,1
adulterywith,1,1
adultress,1,1
adumb,1,1
advanc,42,51
advanceand,1,1
advancedabov,1,1
advancedand,1,1
advancehi,1,1
advanceor,1,1
advanceth,1,1
advancethi,1,1
advanceunto,1,1
advantag,62,69
advantagei,1,1
advantagesof,1,1
advantageswhat,1,1
advantagesyou,1,1
advantagethey,1,1
advantageto,1,1
advantagewil,1,1
adventur,22,23
adventuredto,1,1
adventuremi,1,1
adventureth,1,1
adventurethat,1,1
adventureto,2,2
adventureupon,1,1
advers,14,14
adversari,14,15
adversariesto,1,1
adversaryi,1,1
adversiti,1,1
adversitiesmak,1,1
advertis,7,7
advertisedth,1,1
advertisedthat,1,1
advertisewheth,1,1
advic,30,35
adviceand,1,1
advicehath,2,2
advicemi,1,1
advicemort,1,1
advicethou,1,1
advis,59,67
advise,5,5
advisedhow,1,1
advisedwho,1,1
advisesus,1,1
adviseyou,1,1
advoc,7,7
advocat,1,1
aeacida,1,1
aeacideswa,1,1
aedil,1,2
aedile,1,2
aegle,1,1
aemilius,2,4
aenea,16,26
aeneascons,1,1
aeolus,1,1
aer,1,2
aeri,3,5
aerial,1,1
aesculapius,1,1
aeson,1,1
aetna,1,1
afac,1,1
afals,1,1
afar,3,3
afear,2,2
afeard,20,26
afeardthou,1,1
afeardto,1,1
afellow,3,3
afellowship,1,1
afemal,1,1
affabl,7,8
affair,50,61
affairsand,1,1
affairsar,1,1
affairsdo,1,1
affairshath,1,1
affairsi,1,1
affairsmay,1,1
affairsthat,2,2
affairsthus,1,1
affect,99,128
affecta,1,1
affectedthan,1,1
affecteth,1,1
affectin,1,1
affectingfantastico,1,1
affection,6,6
affectionar,1,1
affectionfal,1,1
affectionof,1,1
affectionsand,1,1
affectionsar,1,1
affectionsstil,1,1
affectionsupon,1,1
affectionswould,1,1
affectionthan,1,1
affectsin,1,1
affectstyrann,1,1
affeer,1,1
affi,2,2
affianc,3,3
affiancedto,1,1
affiancewer,1,1
affin,3,3
affinedto,1,1
affirm,2,2
affirmit,1,1
affirmthat,1,1
afflict,34,37
affliction,2,2
afflictionat,1,1
afflictionb,1,1
afford,18,22
affordand,1,1
affordb,1,1
affordeth,1,1
affordi,1,1
affordno,1,1
affordsand,1,1
affordsto,1,1
affordto,1,1
affray,1,1
affright,20,21
affront,4,4
afield,1,1
afifth,1,1
afigur,1,1
afind,2,2
afir,4,4
afirago,1,1
aflagon,1,1
aflam,1,1
afloat,1,1
afool,3,3
afoolish,3,3
afoot,16,19
afootagain,1,1
afooteven,1,1
afor,11,12
afore,1,1
aforehand,1,1
aforesaid,2,2
aforesaidswain,1,1
aforeth,1,1
afoul,2,2
afraid,29,33
afraidh,1,1
afraidhi,1,1
afresh,2,2
afri,1,1
afric,4,4
africa,1,1
african,1,1
afriend,1,1
after,213,314
afterbut,1,1
aftercould,1,1
afteri,1,1
afterit,1,1
afterm,1,1
aftermidnight,1,1
afternoon,17,20
afternoonw,1,1
afterso,1,1
afterthi,1,1
afterward,15,15
afterwardin,1,1
afterwardsw,1,1
afterwer,1,1
aful,1,1
again,310,606
againa,2,2
againaloft,1,1
againand,7,8
againbut,1,1
againcannot,1,1
againdo,1,1
againer,1,1
againeven,1,1
againexist,1,1
againfresh,1,1
againfrom,1,1
againg,1,1
againhi,1,1
againi,3,3
againin,1,1
againmi,1,1
againof,2,2
againon,1,1
againreturn,1,1
against,221,395
againstchild,1,1
againstgreat,1,1
againsthad,1,1
againsthim,2,2
againstmi,1,1
againstobedi,1,1
againstth,5,5
againstwhom,1,1
againstyou,1,1
againstyour,1,1
againth,2,2
againthan,1,1
againthat,1,1
againthi,1,1
againto,6,6
againwher,1,1
againwhich,1,1
againwith,2,2
againwould,1,1
agal,1,1
agam,1,1
agamemnon,10,34
agarden,1,1
agat,5,5
agaunt,1,2
agaz,1,1
age,116,182
ageand,1,1
aged,1,1
agefor,1,1
agehav,1,1
agei,1,1
ageman,1,1
agemor,1,1
agemust,1,1
agenor,1,1
agent,13,13
agentleman,4,4
ageset,1,1
ageshould,1,1
ageswith,1,1
ageth,1,1
agethan,1,1
ageto,2,2
agewil,1,1
aggrav,3,3
aggriev,1,1
agil,1,1
agincourt,3,4
agit,2,2
aglet,1,1
agnisea,1,1
ago,26,27
agoa,1,1
agod,2,2
agon,2,2
agoni,5,5
agood,13,13
agrammar,1,1
agrav,2,3
agre,27,33
agreat,6,6
agree,3,3
agreed,3,3
agreedthat,1,1
agreeingin,1,1
agreelik,1,1
agreement,3,3
agreementm,1,1
agreeth,1,1
agrippa,4,12
agrippapl,1,1
aground,1,1
agu,12,14
aguecheek,2,3
aguefac,1,1
aguestay,1,1
aguesth,1,1
ah,96,149
ahalf,1,1
ahand,2,2
ahandkerchief,1,1
ahandsom,1,1
ahear,1,1
aheart,1,1
aholi,1,1
ahoney,2,2
ahors,1,1
ahug,1,1
ahundr,3,3
ahusband,2,2
ai,1,2
aid,38,48
aidanc,1,1
aidand,1,1
aidant,1,1
aidfor,1,1
aidin,1,1
aidless,1,1
aidof,1,1
aidto,1,1
aim,40,44
aime,2,2
aimest,1,1
aimlevel,1,1
aimsat,1,1
aimthan,1,1
aimto,1,1
ainsi,2,2
aio,1,1
air,136,175
airand,3,3
airar,2,2
airbi,1,1
airbut,1,1
aircri,1,1
airfor,1,1
airgiv,1,1
airhang,1,1
airhow,1,1
airi,10,12
airless,1,1
airmay,1,1
airmor,1,1
airnimbl,1,1
airshow,1,1
airto,1,1
airtoo,1,1
airwith,2,2
ajangl,1,1
ajax,17,58
ajaxproud,1,1
ajaxthat,1,1
ajoint,1,1
ake,2,2
akersey,1,1
akind,2,2
akitchen,1,1
aknav,1,1
al,1,1
ala,48,54
alabast,3,3
alack,51,75
alacr,2,2
alacrityi,1,1
alarbus,1,2
alarm,4,4
alarmexcit,1,1
alarum,15,15
alarumand,1,1
alas,99,145
alawy,1,1
alban,10,16
albani,4,7
albeit,10,10
albion,4,5
albioncom,1,1
alchemi,1,1
alchemist,2,2
alcibiad,6,13
alcide,7,7
alder,1,1
alderman,2,2
ale,14,19
alehous,7,8
alencon,13,18
aleppo,2,2
alett,1,1
alexa,4,9
alexand,8,18
alexanderleft,1,1
alexandria,4,4
alexandrian,2,2
alexandriathi,1,1
alexasbr,1,1
alia,1,1
alice,1,2
alien,1,1
alienthat,1,1
alight,4,4
alik,28,32
alike,1,1
alikea,1,1
alikeconvers,1,1
alikefe,1,1
alikemen,1,1
alikeshow,1,1
alili,1,1
alisand,1,5
alit,1,1
alittl,2,2
aliv,61,77
alive,3,3
aliveand,1,1
alivei,1,1
alivemight,1,1
alivethan,1,1
alivethat,1,1
aliveto,2,2
alivewith,1,1
all,577,3193
alla,2,2
allabout,1,1
allamongst,1,1
alland,3,3
allar,1,1
allassault,1,1
allathen,1,1
allay,14,15
allayingtib,1,1
allayth,1,1
allbi,1,1
allbut,1,1
allcannot,1,1
allcertainti,1,1
allcommand,1,1
allconst,1,1
allcontroversi,1,1
allcoward,1,1
allcreatur,1,1
allcustom,1,1
alldead,1,1
alldebt,1,1
alldesir,1,1
alldo,1,1
alleg,3,4
allegedmani,1,1
allegi,21,23
allegianceof,1,1
allegiancewil,1,1
alley,3,3
allfashion,1,1
allfil,1,1
allfrom,3,3
allgrac,1,1
allgreat,1,1
allhang,1,1
allhappi,1,1
allhav,1,1
allher,1,1
allhonour,1,1
alli,14,15
allianc,12,15
alliancewould,1,1
alliedfor,1,1
alliesthat,1,1
alliesthi,1,1
allig,1,1
allin,1,1
alllondon,1,1
allmi,2,2
allmirth,1,1
allmiscarri,1,1
allon,4,5
allor,1,1
allot,2,2
allour,1,1
allow,48,54
allowancea,1,1
allowanceo,1,1
allpati,1,1
allpiti,1,1
allplac,1,1
