Word,Article,Count
confusionin,1,1
confusionmay,1,1
confusionof,1,1
confut,3,3
congeal,7,7
conger,1,2
congratul,1,1
congre,1,1
congreet,1,1
congreg,5,5
congru,1,1
congruent,2,2
coni,3,3
conjectur,5,5
conjecturesand,1,1
conjecturewher,1,1
conjoin,7,7
conjoint,2,2
conjunct,11,11
conjunctand,1,1
conjunctionpl,1,1
conjur,34,42
conn,4,4
conniv,1,1
conquer,31,41
conquerand,1,1
conqueror,22,28
conquertheir,1,1
conquest,24,26
conquestcaesar,1,1
conrad,2,4
consanguin,2,2
conscienc,69,106
conscienceha,1,1
consciencei,2,2
consciencein,1,1
consciencesay,1,1
conscienceto,1,1
consecr,10,10
consecratemi,1,1
consent,64,77
consentedh,1,1
consentedthat,1,1
consentgav,1,1
consenthi,1,1
consentin,1,1
consentthat,4,4
consentto,3,3
consequ,17,19
consequencewil,1,1
conserv,2,4
consid,57,62
consider,11,11
consideringhow,1,1
considerit,1,1
considerth,1,1
consideryou,1,1
consign,3,4
consist,8,8
consistof,1,1
consistori,2,3
consistsof,1,1
consol,2,2
conson,3,3
consort,14,17
conspir,21,23
conspiraci,7,8
conspiracyhi,1,1
conspiracyof,1,1
conspireagainst,1,1
conspiringwith,1,1
constabl,14,29
constableand,1,1
constablew,1,1
constanc,15,19
constancyhath,1,1
constant,40,47
constantin,1,1
constel,1,1
constitut,1,1
constitutionof,1,1
constrain,13,13
constraineth,1,1
constraint,4,4
constring,1,1
constru,8,9
construct,7,8
construepoor,1,1
consul,13,36
consulship,2,2
consult,4,4
consulwish,1,1
consum,17,19
consumedin,1,1
consumm,5,5
consummationdevout,1,1
consumpt,4,5
contagi,8,9
contagion,5,5
contain,28,31
containingi,1,1
contamin,5,5
contemn,9,10
contempl,10,11
contemplationund,1,1
contempt,35,42
contemptand,1,1
contemptof,1,1
contemptshut,1,1
contemptu,3,3
contemptwhen,1,1
contend,14,15
contendagainst,1,1
contendedespeci,1,1
contendeven,1,1
contendwhich,2,2
contendwithout,1,1
content,122,166
contenta,1,1
contentand,1,1
contentedto,3,3
contenth,1,1
contenti,3,3
contentin,1,1
contentless,1,1
contento,1,1
contentsdi,1,1
contentsshal,1,1
contenttend,1,1
contentthi,1,1
contentto,8,8
contest,1,1
contesta,1,1
contestationwa,1,1
conthat,1,1
contin,14,14
continentforbear,1,1
continentto,1,1
continu,52,55
continuanceof,1,1
continuein,1,1
continuelong,1,1
continueth,1,1
contr,1,1
contract,24,33
contractedheir,1,1
contracti,1,1
contradict,10,10
contradicthath,1,1
contrari,41,44
contrariesexecut,1,1
contrarieti,2,2
contraryar,1,1
contraryfail,1,1
contraryurg,1,1
contribut,2,2
contributorsand,1,1
contrit,1,1
contriv,19,19
contriveagainst,1,1
contrivedst,1,1
contrivedto,1,1
contriveshal,1,1
control,20,24
controversi,5,6
controversycom,1,1
contum,1,1
contumeli,4,4
contus,1,1
conveni,23,23
conveniencylet,1,1
convent,4,4
conventedupon,1,1
conventicl,1,1
convers,24,25
conversationsappear,1,1
conversationthat,1,1
conversedat,1,1
conversewith,1,1
convert,12,13
convertit,1,1
convertmi,1,1
convey,41,51
conveylett,1,1
conveythi,1,1
convict,2,2
convinc,6,6
convincesth,1,1
convincethat,1,1
conviv,1,1
convocationand,1,1
convoy,5,5
convuls,1,1
cook,12,18
cookeri,1,1
cookeryshal,1,1
cookssharpen,1,1
cool,36,39
cooli,1,1
coop,1,1
copatain,1,1
cope,12,12
copest,2,2
cophetua,3,3
copi,14,14
copious,1,1
copper,5,7
copperspur,1,1
coppic,1,1
copul,1,1
coragio,1,2
coral,2,2
coranto,2,2
cord,16,19
cordelia,8,20
cordi,1,1
cordial,9,9
cordsthat,1,1
core,4,4
corin,1,1
corinth,1,1
corinthian,1,1
coriolanus,10,24
coriolanusdeserv,1,1
coriolanush,1,1
coriolanushad,1,1
coriolanusi,1,1
coriolanusshould,1,1
corioli,10,15
corioliat,1,1
corki,1,1
cormor,4,4
corn,25,34
cornelia,2,2
cornelius,1,1
corner,24,24
cornet,1,1
cornhath,1,1
cornish,1,2
cornwa,1,1
cornwal,7,13
corollari,1,1
coron,12,19
coronationi,1,1
coronet,9,11
coroneton,1,1
corpor,14,20
corps,10,11
corpul,1,1
correct,24,27
correcthim,1,1
correction,1,1
correctioni,1,1
correcttheir,1,1
correspond,1,1
correspondingwith,1,1
corrig,2,2
corriv,2,2
corrobor,1,1
corros,2,2
corrupt,49,53
corruptedbi,1,1
corruptionfrom,1,1
corruptioninhabit,1,1
corruptto,1,1
cors,19,29
corsebetwixt,1,1
corseinto,1,1
corslet,1,1
cost,40,43
costa,2,2
costard,9,19
costardsaf,1,1
costin,1,1
costlier,1,1
costth,1,1
costto,1,1
costyour,1,1
cot,1,1
cote,4,4
cotswold,2,2
cottag,3,3
cotus,1,2
couch,24,25
coucha,1,1
couchsoft,1,1
coud,1,1
cough,7,7
could,265,482
couldbut,1,1
couldcharg,1,1
couldcom,1,1
couldcondemn,1,1
couldcri,1,1
couldentreat,1,1
couldget,1,1
couldgiv,1,1
couldmi,1,1
couldnot,3,3
couldo,1,1
couldquit,1,1
couldrememb,1,1
couldst,23,27
couldstnot,1,1
couldswear,1,1
couldtear,1,1
couldwith,1,1
coulter,1,1
coun,1,4
council,31,39
councilshi,1,1
counsel,99,130
counseli,1,1
counselin,2,2
counsellor,16,17
counsellori,1,1
counsellorsto,1,1
counselm,1,1
counselmi,1,1
counselsand,1,1
counselsb,1,1
counselsupon,1,1
counselthat,1,1
counselwhich,1,1
counselwil,1,1
count,56,82
countclaudio,1,1
countdid,1,1
counteda,1,1
counten,42,49
countenanc,3,3
countenancea,1,1
countenancemer,1,1
countenancewhich,1,1
counter,8,8
counterchangei,1,1
counterchequ,1,1
counterfeit,33,48
counterfeitbest,1,1
counterfeitfair,1,1
counterfeitresembl,1,1
countermand,2,3
counterpoint,1,1
counterpois,7,7
countervail,2,2
countess,5,6
countessand,1,1
countessif,1,1
countessis,1,1
countesslaughest,1,1
countessporter,1,1
countessthe,1,1
countessthen,1,1
countessthis,1,1
countessto,1,1
countessvictori,1,1
countesswhat,1,1
countesswhi,1,1
countesswith,1,1
counti,18,29
countless,1,2
countmyself,1,1
countri,99,153
countrya,1,1
countrycommit,1,1
countryg,1,1
countryman,14,16
countrymanaccord,1,1
countrymanroderigo,1,1
countrymen,27,36
countrymenand,1,1
countrymenar,1,1
countryshal,1,1
countrystand,1,1
countryund,1,1
countrywoman,1,1
countthat,1,1
countywher,1,1
couper,1,1
coupl,17,20
couplement,1,1
coupleof,1,1
couplesom,1,1
couplet,2,2
courag,64,71
couragea,1,1
courageand,1,1
courageworthi,1,1
courier,3,3
couronn,1,1
cours,116,142
courseand,1,1
coursei,3,3
coursen,1,1
courseof,1,1
coursepretti,1,1
courser,4,4
courseri,1,1
courseseast,1,1
coursessubdu,1,1
coursethi,1,1
coursethrough,1,1
courseto,2,2
coursewher,1,1
coursewhich,2,2
coursewil,1,1
coursingmyself,1,1
court,120,204
courta,2,2
courtand,1,1
courteous,18,19
courtesi,62,74
courtesiesi,1,1
courtesiesmight,1,1
courtesyli,1,1
courtesymight,1,1
courtesythi,1,1
courtesywhich,1,1
courtezan,5,5
courtfor,1,1
courth,1,1
courthad,1,1
courthid,1,1
courtier,16,23
courtiercap,1,1
courtiersstil,1,1
courtierto,1,1
courtmad,1,1
courtney,1,1
courtship,6,7
courtsi,1,1
courtsom,1,1
courtther,1,1
courtto,1,2
courtwhen,1,1
courtwhil,1,1
courtwith,1,1
cousin,104,253
cousincressida,1,1
cousinharri,1,1
cousinmarcus,1,1
cousintybalt,1,1
cousinupon,1,1
coutum,1,1
coven,6,7
covenantsa,1,1
covent,1,1
coventri,5,8
cover,33,41
coverin,1,1
coverlet,1,1
covert,9,9
coverth,1,1
covertur,3,3
covet,15,16
covetouslyreserv,1,1
cow,8,8
coward,84,115
cowardbut,1,1
cowardic,13,13
cowardicehath,1,1
cowardiceto,1,1
cowardicewhos,1,1
cowardsbut,1,1
cowardship,1,1
cowardsto,1,1
cowardturn,1,1
cower,2,2
cowish,1,1
cowslip,6,7
coxcomb,8,17
coxcombsa,1,1
coxcombsmyself,1,1
coy,5,5
coyand,1,1
coystrillthat,1,1
coz,10,15
cozen,13,14
cozenag,1,1
crab,14,17
crabyou,1,1
crack,50,55
cracker,1,1
cracksof,1,1
cradl,16,16
cradlebut,1,1
cradledraw,1,1
craft,15,17
crafti,10,12
craftier,1,1
craftili,1,1
craftsmen,1,1
craftto,1,1
craftyswear,1,1
craker,1,1
cram,6,6
cramm,4,4
cramp,3,4
cramwithin,1,1
crank,2,2
cranmer,4,8
cranni,2,3
crant,1,1
craremight,1,1
crashtak,1,1
crassus,2,3
crave,55,65
cravei,1,1
craven,6,6
craver,1,1
cravesa,1,1
cravesal,1,1
cravesth,1,1
cravesto,1,1
craveth,1,1
craveyour,1,1
crawl,4,4
crawlingbetween,1,1
craze,4,4
crazedsay,1,1
crazi,1,1
creak,1,1
cream,4,5
creat,30,32
createda,1,1
createdof,1,1
createdth,1,1
createdto,1,1
createev,1,1
createlord,1,1
createslucius,1,1
creation,6,6
creationdo,1,1
creator,1,1
creatur,73,88
creaturesof,1,1
creaturesturn,1,1
creatureswhos,1,1
creaturethat,4,4
credenc,1,1
credent,2,2
credentthou,1,1
credit,37,39
creditor,9,9
creditorand,1,1
creditthat,1,1
credo,1,4
credul,9,9
creed,1,1
creekbehind,1,1
creep,19,21
creepinto,1,1
creepof,1,1
creepsacquaint,1,1
creepto,1,1
crept,11,13
crepta,1,1
crescent,4,4
cresciv,1,1
cresset,1,1
cressi,1,1
cressid,12,36
cressida,8,13
crest,17,19
crestand,2,2
cresti,1,1
crestless,1,1
crestof,1,1
crestthat,1,1
cretan,1,1
crete,3,4
crevic,1,1
crew,11,12
cri,175,299
crib,2,2
cribb,1,1
cricket,7,7
criedst,2,2
crier,2,2
criesa,1,1
criest,2,2
criesth,1,1
crime,17,18
crimeless,1,1
crimescommit,1,1
crimesso,1,1
crimesth,1,1
crimeto,2,2
crimeunreconcil,1,1
crimin,3,3
crimson,12,12
cring,1,1
crippl,3,3
crippleto,1,1
crisp,4,4
crispian,1,4
crispianus,1,1
crispin,2,4
critic,5,5
croak,3,3
crocodil,3,4
crocodilewith,1,1
cromer,1,1
cromwel,4,18
crone,1,1
crook,16,16
crop,5,5
cropa,1,1
cropb,1,1
cropof,1,1
cropp,7,7
crosbi,3,3
cross,82,102
crossagainst,1,1
crossbi,1,1
crossest,1,1
crosseveri,1,1
crossli,1,1
crossw,1,1
crossway,1,1
crost,1,1
crotchet,3,3
crouch,3,3
crouchunder,1,1
crow,34,37
crowd,5,5
crowdingamong,1,1
crowmak,1,1
crown,166,340
crownan,1,1
crownand,2,2
crownbi,1,1
crownbut,1,1
crowndrop,1,1
crownedwith,1,1
crowner,2,3
crownet,2,2
crowneven,1,1
crownhi,1,1
crownin,1,1
crownmarri,1,1
crownmi,1,1
crownneith,1,1
crownof,2,2
crownsfor,1,1
crownsth,1,1
crownsthan,1,1
crownswith,1,1
crownthat,1,1
crownto,1,1
crownupon,1,1
crowseven,1,1
crowvi,1,1
crowwhen,1,1
cruel,50,61
cruell,1,1
crueller,1,1
cruelli,1,1
cruellydidst,1,1
cruelthat,1,1
cruelti,16,17
crueltythat,1,1
crueltyto,1,1
cruelwar,1,1
crum,1,1
crumbl,1,1
crupper,2,2
crusado,1,1
crush,15,15
crushin,1,1
crust,4,4
crusti,1,1
crutch,12,13
crutchbefor,1,1
cryagainst,1,1
cryhath,1,1
crystal,10,10
crystallin,1,1
crythes,1,1
cryto,1,1
crywhil,1,1
cub,3,3
cubiculo,1,1
cubitseem,1,1
cuckold,21,25
cuckoo,9,19
cucullus,2,2
cudgel,11,16
cue,9,10
cuei,1,1
cuff,4,4
cuffthat,1,1
cuiqu,1,1
cuiss,1,1
cull,14,15
cullion,4,4
culpabl,1,1
culverin,1,1
cum,2,2
cumber,2,2
cumberland,2,4
cun,65,71
cunningin,1,1
cunninglythat,1,1
cunningshal,1,1
cuor,1,1
cup,33,54
cupa,1,1
cupand,1,1
cupbear,1,2
cupboard,2,2
cupid,26,44
cupidshal,1,1
cupidsof,1,1
cuppel,1,1
cur,32,40
curan,1,1
curat,2,3
curb,15,15
curbedbi,1,1
curbsof,1,1
curd,4,4
curdi,1,1
curdyvapour,1,1
cure,47,56
curedbi,1,1
curedof,1,1
cureless,2,2
cureof,1,1
curer,1,1
curfew,4,4
curio,1,1
curios,2,2
curiositythan,1,1
curious,13,13
curioustal,1,1
curl,9,9
curledmi,1,1
curlish,1,1
curover,1,1
curprey,1,1
curranc,1,1
currant,1,1
current,25,29
curri,1,1
currish,2,3
currun,1,1
curs,95,174
curseabid,1,1
curseagainst,1,1
cursedbi,1,1
curseh,1,1
cursehav,1,1
cursei,1,1
cursenev,1,1
cursepierc,1,1
cursethat,1,1
curseupon,1,1
cursewhich,1,1
cursorari,1,1
curst,14,25
curstand,1,1
curstcow,1,1
curster,1,1
curstest,1,1
curt,1,1
curtail,2,2
curtain,19,23
curthat,1,1
curti,1,6
curtl,1,1
curtsi,6,6
curtsyand,1,1
curtsywith,1,1
cushion,12,12
custard,1,1
custodi,1,1
custom,43,50
customari,5,5
customi,1,1
custommor,1,1
custur,1,1
cut,119,162
cutfrench,1,1
cutler,1,1
cutpurs,4,4
cutt,1,1
cutter,1,1
cutterwa,1,1
cutthi,1,1
cutthrough,1,1
cuttl,1,1
cutwith,1,1
cyclop,2,2
cydnus,3,3
cygnet,3,3
cymbal,1,1
cymbelin,4,9
cymbelinei,1,1
cyme,1,1
cynic,1,1
cynthia,2,2
cypress,5,5
cyprus,12,24
cyrus,1,1
cytherea,3,3
d,559,4564
da,9,9
dace,1,1
dad,3,3
daf,1,1
daff,3,3
daffest,1,1
daffodil,2,2
dagger,33,47
daggerbecom,1,1
daggershack,1,1
daggersunmann,1,1
dagonet,1,1
daili,24,28
dailydo,1,1
dainti,20,23
daintier,1,1
daintiest,2,2
daintili,2,2
daisi,4,4
dale,3,6
dall,2,2
dalli,12,13
dallianc,4,4
dalliancetoo,1,1
dallywith,1,1
dalmatian,2,2
dam,23,25
damag,3,3
damascus,1,1
damask,4,4
damat,1,1
damcommit,1,1
dame,30,34
damehad,1,1
damemad,1,1
damesat,1,1
damescommit,1,1
damethat,1,1
damm,3,3
damn,78,115
damnabl,9,9
damnat,7,8
damnationa,1,1
damnationto,1,1
damnationwith,1,1
damon,1,1
damong,1,1
damosella,1,1
damp,1,1
damsel,4,6
damshould,1,1
damson,1,1
dan,1,1
danc,52,81
dancer,2,2
dancesa,1,1
danceth,1,1
dancewith,1,1
dand,12,14
dandi,1,1
dandl,2,2
dane,6,8
danger,136,195
dangerand,1,1
dangeri,1,1
dangerof,1,1
dangerousbi,1,1
dangerousi,1,1
dangerousit,1,1
dangerousthat,1,1
dangerousto,1,1
dangersa,1,1
dangerspeak,1,1
dangerthat,1,1
dangerto,1,1
dangerwher,1,1
dangerwhich,1,1
dangl,1,1
daniel,1,6
danish,4,5
dank,4,4
dansker,1,1
daphn,3,3
dardanian,1,1
dardanius,1,2
dare,162,241
daredon,1,1
daredraw,1,1
dareless,1,1
darelook,1,1
daremaintain,1,1
darest,33,42
darestappear,1,1
darestnot,1,1
daresto,1,1
dareto,3,3
darius,1,1
dark,70,104
darkbi,1,1
darken,8,8
darker,2,2
darkest,2,2
darkfil,1,1
darkgrop,1,1
darkl,3,3
darknessbut,1,1
darkout,1,1
darksin,1,1
darl,6,6
darnel,3,3
darraign,1,1
dart,16,17
darter,1,1
dartswer,1,1
das,8,8
dash,17,19
dastard,8,8
dat,2,8
date,16,16
datein,1,1
dateless,2,2
dateshav,1,1
datewith,1,1
datno,1,1
dattend,1,1
daub,4,4
daughter,162,419
daughtera,1,1
daughterand,3,3
daughterbefor,1,1
daughtercal,1,1
daughterhi,1,1
daughteri,1,1
daughtermight,1,1
daughtersgot,1,1
daughterthat,1,1
daughterto,2,2
daughterwer,1,1
daughterwithout,1,1
daunt,5,5
dauntless,4,4
dauphin,31,68
dauphinhi,1,1
daventri,1,1
davi,5,26
daw,7,8
dawn,6,7
dawningmay,1,1
day,389,964
daya,3,3
dayagainst,1,1
dayand,1,1
dayb,2,2
daybecam,1,1
daybehold,1,1
daybi,1,1
daybreak,1,1
daycom,1,1
dayever,1,1
dayexpect,1,1
dayfit,1,1
dayfor,1,1
dayhang,1,1
dayhath,2,2
dayi,4,4
dayin,2,2
dayit,1,1
dayknit,1,1
dayl,1,1
daylight,8,9
daymad,1,1
daymor,2,2
daymorn,1,1
daymust,1,1
dayof,1,1
dayperhap,1,1
daysa,1,1
daysand,2,2
daysat,1,1
daysaw,1,1
dayse,2,2
daysentir,1,1
dayshal,1,1
daysi,1,1
dayso,1,1
daystand,1,1
daysthan,1,1
daysthey,1,1
daysto,1,1
dayswhich,1,1
dayswith,1,1
daysyou,1,1
daythat,4,4
dayto,2,2
dayvisit,1,1
dayw,1,1
daywa,4,4
daywear,1,1
daywhen,3,3
daywher,1,1
daywherein,2,2
daywith,1,1
daywould,1,1
dayyou,1,1
dazzl,6,6
dbash,1,1
dbefor,2,2
dbeyond,1,1
dbi,13,13
dbleed,1,1
dboth,1,1
dbut,3,3
dcame,1,1
dcome,1,1
dcommit,1,1
dcompel,1,1
dcould,1,1
ddesir,1,1
ddo,1,1
de,30,109
dead,239,522
deada,1,1
deadand,4,4
deadar,1,1
deadbear,1,1
deaddid,1,1
deaddrunk,1,1
deadi,1,1
deadif,1,1
deadindian,1,1
deadmay,1,1
deadon,2,2
deadso,1,1
deadthan,1,1
deadthat,1,1
deadto,1,1
deaf,20,26
deafen,4,4
deal,57,61
deala,1,1
dealer,2,2
dealest,1,1
dealt,7,7
dealwith,1,1
dear,236,429
deara,3,3
dearer,12,14
dearerestim,1,1
dearerin,1,1
dearest,39,44
dearestbodili,1,1
dearkat,1,1
dearth,7,8
dearthan,1,1
dearthor,1,1
dearto,1,1
dearwhen,1,1
death,325,807
deathand,6,6
deathb,1,1
deathbanish,1,1
deathcan,1,1
deathchang,1,1
deathdrawn,1,1
deathenviron,1,1
deathfor,2,2
deathhad,1,1
deathhang,1,1
deathhath,1,1
deathhav,1,1
deathi,4,4
deathli,1,1
deathmak,1,1
deathmight,1,1
deathmor,1,1
deathof,2,2
deathour,1,1
deathout,1,1
deathrank,1,1
deathrev,1,1
deathright,1,1
deathsbi,1,1
deathser,1,1
deathshal,1,1
deathshould,1,1
deathsman,1,1
deathsof,1,1
deathswould,1,1
deathtak,1,1
deathth,2,2
deaththat,5,5
deaththi,1,1
deaththou,2,2
deathto,2,2
deathwa,1,1
deathwer,1,1
deathwhich,1,1
deathwil,3,3
deathwith,1,1
debas,2,3
debaseth,1,1
debat,17,17
debatebi,1,1
debateour,1,1
debatinga,1,1
debil,1,1
debitor,2,2
debonair,1,1
deborah,1,1
debosh,2,2
debt,41,48
debtor,10,10
debtsand,1,1
debtswherein,1,1
debtupon,1,1
debtwhich,1,1
debuti,1,1
decay,19,20
decaya,1,1
decaydoth,1,1
decaysth,1,1
deceas,14,15
deceaseda,1,1
deceit,17,21
deceitcontriv,1,1
deceitnor,1,1
deceitwhich,1,1
deceiv,58,66
deceivedin,1,1
deceivedsignior,1,1
deceiveour,1,1
deceivest,1,1
deceiveth,1,1
decemb,5,5
decens,1,1
decent,1,1
decepti,1,1
decern,1,1
decid,2,2
decidesthat,1,1
decim,1,1
deciph,2,2
decis,2,2
decius,6,9
deck,21,22
deckth,1,1
deckyou,1,1
declar,6,7
declarewhat,1,1
declens,2,2
declin,20,21
declinedinto,1,1
declineupon,1,1
decoct,1,1
decorum,2,2
decre,21,23
decreas,2,2
decreedh,1,1
decreein,1,1
decreeinto,1,1
decreesthat,1,1
decrepit,2,2
dedic,11,11
dedicatedto,1,1
dedicatesto,1,1
dedicateto,1,1
dedicationto,1,1
deed,136,235
deeda,1,1
deedacquir,1,1
deedand,1,1
deedconfound,1,1
deedless,1,1
deedmor,1,1
deedsa,1,1
deedsani,1,1
deedsdo,1,1
deedseven,1,1
deedsingrat,1,1
deedsmak,1,1
deedth,1,1
deedthat,1,1
deedthough,1,1
deedw,1,1
deelbow,1,1
deem,10,10
deep,99,126
deepa,1,1
deepand,1,1
deeper,10,11
deepest,5,5
deepinto,1,1
deepli,16,16
deepour,1,1
deepthey,1,1
deer,17,26
deerthat,1,1
deess,1,1
defac,7,7
defacedbi,1,1
defacedth,1,1
defaceth,1,1
defam,1,1
default,2,2
defeat,13,14
defeatdo,1,1
defect,14,16
defectsprov,1,1
defenc,28,32
defenceand,1,1
defencecri,1,1
defend,53,72
defendagainst,1,1
defendedbut,1,1
defendfrom,1,1
defendmi,1,1
defendour,1,1
defendth,1,1
defens,5,5
defer,2,2
defi,22,25
defianc,10,10
defiancea,1,1
defici,2,2
defil,10,11
defiledthat,1,1
defilerof,1,1
defin,4,4
defingr,1,1
definit,3,3
deflow,6,6
deform,11,18
deft,1,1
defunct,4,4
defus,2,2
defyingthos,1,1
defyth,1,1
degener,11,11
degrad,2,2
degre,39,51
degreefrom,1,1
degreeh,1,1
degreemurd,1,1
degreesand,1,1
degreesbi,1,1
degreestand,1,1
dehand,1,1
deign,6,6
deignth,1,1
deiphobus,3,3
deither,1,1
deiti,8,8
deityaboard,1,1
deitycut,1,1
deitygot,1,1
deja,1,1
deject,7,8
delabreth,2,2
delat,2,2
delay,35,38
delaybi,1,1
delayi,1,1
delayw,1,1
delect,1,1
deliber,4,4
delic,26,26
delicateburthen,1,1
delicatetemper,1,1
delicateto,1,1
delicatewith,1,1
delici,3,3
deliciousnessand,1,1
delight,52,61
delightamong,1,1
delightin,2,2
delightno,1,1
delightnor,1,1
delightsh,1,1
delightswer,1,1
delightthan,2,2
delightto,1,1
delightw,1,1
delinqu,1,1
deliv,107,138
deliver,4,4
deliverancea,1,1
deliverancestab,1,1
deliverancewith,1,1
deliveredof,1,1
deliveredyour,1,1
deliverhi,1,1
deliverhim,1,1
deliverhow,1,1
deliveri,5,5
delivermyself,1,1
deliverof,1,1
deliverour,2,2
deliversour,1,1
deliversth,1,1
deliversweet,1,1
deliverth,1,1
deliverthe,1,1
deliverthi,1,1
deliverwhat,1,1
delpho,3,3
delud,3,3
delug,2,2
delv,2,2
delver,1,1
demand,55,68
demandedmi,1,1
demandof,1,1
demandspr,1,1
demandsshal,1,1
demandsthou,1,1
demandth,1,1
demandwhat,1,1
demandwhi,2,2
dembrace,1,1
demean,3,3
demeanor,3,3
demerit,2,2
demeritsmay,1,1
demesn,3,3
demetrius,10,46
demetriusdo,1,1
demetriuswer,1,1
demi,9,10
demigod,2,2
demis,1,1
demoisell,1,2
demon,2,2
demonstr,6,6
demonstratedunto,1,1
demonstrateth,1,1
demost,1,1
demur,3,3
den,22,28
denay,2,2
deni,107,174
denial,6,7
denialsincreas,1,1
denieda,1,1
deniedbut,1,1
deniedhi,1,1
deniedof,1,1
deniedth,1,1
denier,3,3
deniest,1,1
deniesth,1,1
deniestth,1,1
denmark,9,18
denmarkbut,1,1
denmarkdid,1,1
denmarki,1,1
denni,1,1
denot,4,4
denoteth,1,1
denounc,3,3
denunci,1,1
denyth,1,1
denythou,1,1
denywhat,1,1
deo,1,1
depart,56,64
departedthi,1,1
departi,1,1
departur,17,18
departuretwo,1,1
depend,26,31
dependanceupon,1,1
dependantswhich,1,1
dependencybut,1,1
dependinghath,1,1
dependon,1,1
dependsth,1,1
dependsupon,1,1
dependupon,1,1
deplor,2,2
depopul,1,1
depos,22,33
deposedthin,1,1
deposeth,1,1
depositari,1,1
deprav,4,5
depress,1,1
depretti,1,1
depriv,7,7
depth,6,7
depthto,1,1
deput,7,7
deputationi,1,1
deputi,17,23
deputyand,1,1
deracin,1,1
deracinateth,1,1
derbi,2,8
derbyam,1,1
derceta,1,1
dere,1,1
derid,1,1
deris,2,4
derisionshal,1,1
deriv,24,25
derivedfrom,3,3
dern,1,1
derog,3,4
des,2,2
descant,3,3
descend,23,25
descendand,1,1
descendedof,1,1
descendinto,1,1
descendto,1,1
descent,15,16
descenta,1,1
descri,8,8
describ,3,3
describeda,1,1
descript,12,12
descriptionof,1,1
descriptionprov,1,1
descriptionshal,1,1
descrya,1,1
descrystand,1,1
descryth,1,1
desdemona,12,40
desdemonaa,1,1
desdemonaprocur,1,1
desdemonareturn,1,1
desert,39,49
desertless,1,1
desertthan,1,1
desertunmerit,1,1
deserv,94,138
deservea,1,1
deservedal,1,1
deservedso,1,1
deservefor,1,1
deservertil,1,1
deservest,1,1
deservesth,2,2
deservesto,2,2
deserveth,1,1
deservethat,1,1
deserveto,1,1
deservingwer,1,1
deservingwoman,1,1
design,23,26
designmentsin,1,1
designmov,1,1
designsto,1,1
desir,165,237
desireal,1,1
desireattend,1,1
desiredbi,1,1
desiredh,1,1
desiredit,1,1
desiredtheir,1,1
desiredto,1,1
desireh,1,1
desiremi,2,2
desirenoth,2,2
desireof,1,1
desiresar,1,1
desiresbi,1,1
desiresbuy,1,1
desiresrun,1,1
desirest,5,5
desiresto,1,1
desireth,2,2
desireto,5,5
desirousyou,1,1
desist,2,2
desistfor,1,1
desistto,1,1
desk,1,1
desol,13,14
desolationleav,1,1
desolationthat,1,1
despair,32,50
despairdr,1,1
despairfor,1,1
despairi,1,1
despairthat,2,2
desper,51,59
desperationi,1,1
despis,35,39
despiseth,1,2
despit,39,43
despiteof,2,2
despoil,1,1
destin,4,4
destini,18,19
destinybar,1,1
destinyhold,1,1
destitut,2,2
destroy,24,30
destroyth,1,1
destroythan,1,1
destruct,26,27
destructiondefi,1,1
destructioninto,1,1
det,1,1
detain,8,8
detainal,1,1
detect,5,5
detector,1,1
detent,1,1
determin,41,42
determinateth,1,1
determinationthus,1,1
determinedto,1,1
determinedupon,1,1
determinehow,1,1
determineof,1,1
determinesherself,1,1
determinewho,1,1
determinewith,1,1
detest,26,30
detract,6,6
detromperi,1,1
deuc,1,1
deucalion,2,2
deum,2,2
deux,2,2
devant,1,1
devantleur,1,1
deven,2,2
devic,29,37
devicebi,1,1
deviceshereaft,1,1
devicetheir,1,1
devicewhen,1,1
devil,125,226
deviland,1,1
devilb,1,1
devilbi,1,1
devilhi,1,1
devilhimself,1,1
devilincarn,1,1
devilish,13,14
devilmad,1,1
deviloutbid,1,1
devilshould,1,1
devilsincarn,1,1
deviltak,1,1
devilthat,2,2
devilwhi,1,1
devilwould,1,1
devin,1,1
devis,47,52
devisedand,1,1
devisedcourtesi,1,1
devisedsom,1,1
devisedwel,1,1
deviseengin,1,1
devisehi,1,1
devisesom,2,2
devisesometh,1,1
devisestrang,1,1
devoid,1,1
devonshir,1,1
devot,22,24
devotedand,1,1
devour,20,20
devourincertain,1,1
devoursth,1,1
devout,9,9
devoutbi,1,1
dew,37,42
dewand,1,1
dewberri,1,1
dewdrop,1,1
dewfrom,1,1
dewi,1,1
dewlap,1,1
dewperch,1,1
dewupon,1,1
dexter,6,6
dfor,4,4
dfrom,4,4
dfurther,1,1
dher,1,1
dhereditari,1,1
dhimself,2,2
dhis,7,7
dhither,1,1
dhow,1,1
di,2,2
diabl,1,1
diablo,1,1
diadem,11,12
diademon,1,1
dial,6,6
dialect,2,2
dialogu,6,6
diamond,15,18
dian,15,21
diana,13,16
diaper,1,1
dibbl,1,1
dice,8,8
dicein,1,1
dicer,1,1
dicewhich,1,1
dich,1,1
diciplin,1,1
dick,6,7
dicki,1,1
dickon,1,1
dictat,1,1
diction,1,1
dictynna,1,3
did,412,1324
didabound,1,1
didbefor,1,1
didcontend,1,1
diddistinct,1,1
diddl,1,1
didest,1,1
didit,1,1
didli,1,1
didmi,1,1
didnev,1,2
didnot,2,2
dido,8,13
didoffend,1,1
didon,1,1
