,0.1,0.2,0.3,0.4,0.6,0.7,0.8
mean,8091,8083,8112.333333,8157,8211.333333,8292.666667,8294.333333
std,83.11838946,74.95776589,143.7412799,162.0761138,172.6891877,168.4860693,231.3299712
