time: 175381, epoch: 1, step: 110, outputs are [7.799918]
time: 175433, epoch: 1, step: 111, outputs are [7.8799047]
time: 175487, epoch: 1, step: 112, outputs are [7.649299]
time: 175534, epoch: 1, step: 113, outputs are [7.6103253]
time: 175597, epoch: 1, step: 114, outputs are [7.5290446]
time: 175652, epoch: 1, step: 115, outputs are [7.601037]
time: 175699, epoch: 1, step: 116, outputs are [7.3897653]
time: 175752, epoch: 1, step: 117, outputs are [7.4224086]
time: 175799, epoch: 1, step: 118, outputs are [7.7566867]
time: 175848, epoch: 1, step: 119, outputs are [7.3757524]
time: 175895, epoch: 1, step: 120, outputs are [7.667603]
time: 175938, epoch: 1, step: 121, outputs are [7.6124415]
time: 175983, epoch: 1, step: 122, outputs are [7.551517]
time: 176030, epoch: 1, step: 123, outputs are [7.4649405]
time: 176082, epoch: 1, step: 124, outputs are [7.549176]
time: 176128, epoch: 1, step: 125, outputs are [7.5793]
time: 176185, epoch: 1, step: 126, outputs are [7.839364]
time: 176230, epoch: 1, step: 127, outputs are [7.4720135]
time: 176281, epoch: 1, step: 128, outputs are [7.61521]
time: 176327, epoch: 1, step: 129, outputs are [7.665524]
time: 176385, epoch: 1, step: 130, outputs are [7.5033865]
time: 176431, epoch: 1, step: 131, outputs are [7.338228]
time: 176481, epoch: 1, step: 132, outputs are [7.293912]
time: 176527, epoch: 1, step: 133, outputs are [7.361416]
time: 176585, epoch: 1, step: 134, outputs are [7.0310707]
time: 176632, epoch: 1, step: 135, outputs are [7.4474683]
time: 176685, epoch: 1, step: 136, outputs are [7.4567566]
time: 176732, epoch: 1, step: 137, outputs are [7.559745]
time: 176785, epoch: 1, step: 138, outputs are [7.3985176]
time: 176833, epoch: 1, step: 139, outputs are [7.4575977]
time: 176886, epoch: 1, step: 140, outputs are [7.4728837]
time: 176933, epoch: 1, step: 141, outputs are [7.4577856]
time: 176989, epoch: 1, step: 142, outputs are [7.3736715]
time: 177037, epoch: 1, step: 143, outputs are [7.672202]
time: 177087, epoch: 1, step: 144, outputs are [7.331104]
time: 177133, epoch: 1, step: 145, outputs are [7.393438]
time: 177181, epoch: 1, step: 146, outputs are [7.3566766]
time: 177227, epoch: 1, step: 147, outputs are [7.49204]
time: 177281, epoch: 1, step: 148, outputs are [7.339139]
time: 177327, epoch: 1, step: 149, outputs are [7.360756]
time: 177384, epoch: 1, step: 150, outputs are [7.241163]
time: 177430, epoch: 1, step: 151, outputs are [7.148254]
time: 177483, epoch: 1, step: 152, outputs are [7.2210164]
time: 177533, epoch: 1, step: 153, outputs are [7.061023]
time: 177583, epoch: 1, step: 154, outputs are [7.35616]
time: 177632, epoch: 1, step: 155, outputs are [7.342998]
time: 177682, epoch: 1, step: 156, outputs are [7.3107395]
time: 177730, epoch: 1, step: 157, outputs are [7.3659086]
time: 177783, epoch: 1, step: 158, outputs are [7.4353824]
time: 177828, epoch: 1, step: 159, outputs are [7.224527]
time: 177881, epoch: 1, step: 160, outputs are [7.1952863]
time: 177929, epoch: 1, step: 161, outputs are [7.142658]
time: 177979, epoch: 1, step: 162, outputs are [7.4446726]
time: 178026, epoch: 1, step: 163, outputs are [7.4681664]
time: 178072, epoch: 1, step: 164, outputs are [7.146335]
time: 178118, epoch: 1, step: 165, outputs are [7.283497]
time: 178163, epoch: 1, step: 166, outputs are [7.2893744]
time: 178208, epoch: 1, step: 167, outputs are [7.3870854]
time: 178255, epoch: 1, step: 168, outputs are [7.255298]
time: 178302, epoch: 1, step: 169, outputs are [7.1834235]
time: 178352, epoch: 1, step: 170, outputs are [7.1614304]
time: 178396, epoch: 1, step: 171, outputs are [7.079296]
time: 178441, epoch: 1, step: 172, outputs are [6.9866595]
time: 178486, epoch: 1, step: 173, outputs are [6.9085355]
time: 178529, epoch: 1, step: 174, outputs are [6.9431214]
time: 178581, epoch: 1, step: 175, outputs are [6.962206]
time: 178628, epoch: 1, step: 176, outputs are [6.9873643]
time: 178683, epoch: 1, step: 177, outputs are [7.06802]
time: 178732, epoch: 1, step: 178, outputs are [7.0992904]
time: 178784, epoch: 1, step: 179, outputs are [7.3534136]
time: 178829, epoch: 1, step: 180, outputs are [7.2252555]
time: 178882, epoch: 1, step: 181, outputs are [7.124354]
time: 178926, epoch: 1, step: 182, outputs are [6.986652]
time: 178973, epoch: 1, step: 183, outputs are [7.0033264]
time: 179018, epoch: 1, step: 184, outputs are [7.0794897]
time: 179060, epoch: 1, step: 185, outputs are [7.0410266]
time: 179100, epoch: 1, step: 186, outputs are [7.173351]
time: 179139, epoch: 1, step: 187, outputs are [7.059209]
time: 179190, epoch: 1, step: 188, outputs are [7.196617]
time: 179237, epoch: 1, step: 189, outputs are [7.2712584]
time: 179279, epoch: 1, step: 190, outputs are [6.95651]
time: 179326, epoch: 1, step: 191, outputs are [7.018778]
time: 179384, epoch: 1, step: 192, outputs are [7.027343]
time: 179429, epoch: 1, step: 193, outputs are [6.8673377]
time: 179481, epoch: 1, step: 194, outputs are [6.767453]
time: 179529, epoch: 1, step: 195, outputs are [6.85716]
time: 179586, epoch: 1, step: 196, outputs are [6.8955956]
time: 179634, epoch: 1, step: 197, outputs are [7.0516324]
time: 179684, epoch: 1, step: 198, outputs are [7.171376]
time: 179730, epoch: 1, step: 199, outputs are [7.046966]
time: 179785, epoch: 1, step: 200, outputs are [7.303833]
time: 179834, epoch: 1, step: 201, outputs are [7.123009]
time: 179886, epoch: 1, step: 202, outputs are [7.0841455]
time: 179934, epoch: 1, step: 203, outputs are [6.852572]
time: 179983, epoch: 1, step: 204, outputs are [6.843483]
time: 180030, epoch: 1, step: 205, outputs are [6.979038]
time: 180084, epoch: 1, step: 206, outputs are [6.920053]
time: 180132, epoch: 1, step: 207, outputs are [7.3201394]
time: 180185, epoch: 1, step: 208, outputs are [6.7987566]
time: 180233, epoch: 1, step: 209, outputs are [7.175419]
time: 180285, epoch: 1, step: 210, outputs are [7.102466]
time: 180332, epoch: 1, step: 211, outputs are [6.9177313]
time: 180385, epoch: 1, step: 212, outputs are [7.141288]
time: 180433, epoch: 1, step: 213, outputs are [7.0477996]
time: 180485, epoch: 1, step: 214, outputs are [6.8316994]
time: 180533, epoch: 1, step: 215, outputs are [6.876871]
time: 180585, epoch: 1, step: 216, outputs are [6.7607627]
